		Img    	   rate    	 PSNR         SSIM
      01lenna 	  0.200 	 35.864 	 0.9288 	 0.1114 
    02barbara 	  0.200 	 25.483 	 0.7997 	 0.0917 
    03peppers 	  0.200 	 35.465 	 0.8992 	 0.0933 
   04mandrill 	  0.200 	 24.435 	 0.7666 	 0.0848 
   05goldhill 	  0.200 	 33.067 	 0.8895 	 0.0825 
      06boats 	  0.200 	 32.816 	 0.8962 	 0.0875 
  07cameraman 	  0.200 	 39.461 	 0.9802 	 0.0854 
        08man 	  0.200 	 32.870 	 0.9136 	 0.0832 
      09clown 	  0.200 	 36.003 	 0.9342 	 0.0871 
     10couple 	  0.200 	 32.476 	 0.9100 	 0.0890 
      11crowd 	  0.200 	 35.195 	 0.9619 	 0.0866 
       12girl 	  0.200 	 39.239 	 0.9587 	 0.0894 
       13lake 	  0.200 	 32.165 	 0.8894 	 0.0861 
		Avg       0.200 	 33.426 	 0.9022 	 0.1065 
