		Img    	   rate    	 PSNR         SSIM
       baboon 	  0.300 	 27.020 	 0.8222 	 0.0971 
      barbara 	  0.300 	 30.224 	 0.9024 	 0.1427 
       bridge 	  0.300 	 29.219 	 0.8920 	 0.1054 
   coastguard 	  0.300 	 35.216 	 0.9433 	 0.0501 
        comic 	  0.300 	 30.378 	 0.9452 	 0.0606 
         face 	  0.300 	 36.556 	 0.9087 	 0.0432 
      flowers 	  0.300 	 35.750 	 0.9576 	 0.0799 
      foreman 	  0.300 	 38.701 	 0.9774 	 0.0501 
        lenna 	  0.300 	 37.889 	 0.9393 	 0.0903 
          man 	  0.300 	 32.469 	 0.9134 	 0.0946 
      monarch 	  0.300 	 40.569 	 0.9832 	 0.1890 
       pepper 	  0.300 	 37.989 	 0.9302 	 0.0913 
         ppt3 	  0.300 	 37.510 	 0.9923 	 0.1948 
        zebra 	  0.300 	 36.374 	 0.9660 	 0.1397 
		Avg       0.300 	 34.705 	 0.9338 	 0.1020 
